,code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
0,AAA,-17.3595,-145.494,Anaa Airport,Anaa,Tuamotu-Gambier,French Polynesia,12512819,Pacific/Midway,0,Airports,BLANK,BLANK,4921.0,7.0,NTGA,2,1
1,AAE,36.8236,7.8103,El Mellah Airport,El Tarf,Annaba,Algeria,12510325,Africa/Algiers,0,Airports,BLANK,BLANK,9843.0,16.0,DABB,6,2
2,AAL,57.0952,9.85606,Aalborg Airport,Norresundby,Nordjylland,Denmark,12512587,Europe/Copenhagen,0,Airports,BLANK,http://www.aal.dk/,8700.0,10.0,EKYT,7,10
3,AAM,-24.8,31.5333,Mala Mala,Mala Mala,BLANK,South Africa,55921381,Africa/Johannesburg,0,Airports,BLANK,BLANK,4420.0,1200.0,FAMD,1,1
4,AAN,24.25,55.75,Al Ain Airport,Ayn al Faydah,Abu Dhabi,United Arab Emirates,12523371,Asia/Dubai,0,Airports,BLANK,BLANK,,,OMAL,12,9
5,AAQ,44.9,37.3167,Olkhovka Airport,Novorossiysk,Krasnodarskiy Kray,Russia,12516605,Europe/Moscow,0,Airports,BLANK,BLANK,,,URKA,24,15
6,AAR,56.3088,10.6154,Tirstrup Airport,Kolind,Midtjylland,Denmark,12512604,Europe/Copenhagen,+45 8775 7000,Airports,BLANK,http://www.aar.dk,9127.0,81.0,EKAH,9,8
7,AAT,47.7406,88.0845,Altay Airport,Altay,Xinjiang,China,12511977,Asia/Urumqi,0,Airports,BLANK,BLANK,,,ZWAT,1,1
8,AAX,-19.5603,-46.9653,Romeu Zuma Airport,Araxá,Minas Gerais,Brazil,12511034,America/Sao_Paulo,0,Airports,BLANK,BLANK,6230.0,3274.0,SBAX,2,1
9,AAY,16.1947,52.1694,Al Gaidah Airport,Al Ghaydah,Hadramawt,Yemen,12523000,Asia/Aden,0,Airports,BLANK,BLANK,8858.0,98.0,OYGD,3,2
10,ABA,53.7167,91.4333,Abakan,Abakan,Khakasiya,Russian Federation,2119917,Asia/Krasnoyarsk,0,Airports,BLANK,BLANK,,,UNAA,4,3
11,ABC,38.9833,-1.85,Los Llanos,Albacete,Castilla-la Mancha,Spain,20081243,Europe/Madrid,0,Airports,BLANK,BLANK,,,LEAB,3,2
12,ABD,30.3374,48.3032,BLANK,Abadan,Khuzestan,Iran,2254271,Asia/Tehran,0,Airports,BLANK,BLANK,10170.0,10.0,OIAA,5,3
13,ABE,40.6514,-75.4342,Lehigh Valley International Airport,Allentown,Pennsylvania,United States,12518581,America/New_York,610-266-6000,Airports,BLANK,http://www.lvia.org/,,,KABE,14,11
14,ABI,32.4164,-99.6803,Abilene Regional Airport,Abilene,Texas,United States,12518518,America/Chicago,0,Airports,BLANK,BLANK,7199.0,1790.0,KABI,2,4
15,ABJ,5.2556,-3.9292,Abidjan Port Bouet Airport,Abidjan,Abidjan,Ivory Coast,12513870,Africa/Abidjan,0,Airports,BLANK,BLANK,8858.0,20.0,DIAP,22,29
16,ABK,6.73719,44.2797,Kabri Dar,Kabri Dar,Ogaden,Ethiopia,1317686,Africa/Addis_Ababa,0,Airports,BLANK,BLANK,10935.0,1800.0,HAKD,1,1
17,ABL,67.1058,-157.854,Ambler Airport,Kiana,Alaska,United States,12518600,America/Anchorage,0,Airports,BLANK,BLANK,2600.0,289.0,BLANK,2,3
18,ABM,-10.9438,142.453,Bamaga Airport,Seisia,Queensland,Australia,12510598,Australia/Brisbane,0,Airports,BLANK,BLANK,6700.0,49.0,YBAM,1,1
19,ABQ,35.0494,-106.625,Albuquerque International Airport,Albuquerque,New Mexico,United States,12518564,America/Denver,0,Airports,BLANK,BLANK,13375.0,5352.0,KABQ,41,25
20,ABR,45.4536,-98.4189,Aberdeen Regional Airport,Aberdeen,South Dakota,United States,12518514,America/Chicago,0,Airports,BLANK,BLANK,6904.0,1301.0,KABR,3,5
21,ABS,22.3722,31.6125,Abu Simbel Airport,Abu Simbel,Aswan,Egypt,12512656,Africa/Cairo,0,Airports,BLANK,BLANK,8202.0,615.0,HEBL,1,1
22,ABT,20.2961,41.6342,Al Baha Airport,Al Aqiq,Al Baha,Saudi Arabia,12517321,Asia/Riyadh,0,Airports,BLANK,BLANK,10991.0,5486.0,OEBA,3,1
23,ABV,9.0056,7.2661,Abuja International Airport,Gwagwa,Abuja Capital Territory,Nigeria,12515056,Africa/Lagos,0,Airports,BLANK,BLANK,11808.0,1122.0,DNAA,9,12
24,ABX,-36.0678,146.956,Albury Airport,Albury,New South Wales,Australia,12510583,Australia/Sydney,0,Airports,BLANK,BLANK,6234.0,539.0,YMAY,3,5
25,ABY,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany,Georgia,United States,12521922,America/New_York,0,Airports,BLANK,BLANK,6601.0,197.0,KABY,1,2
26,ABZ,57.2004,-2.20373,Aberdeen Dyce International Airport,Aberdeen,Scotland,United Kingdom,22450858,Europe/London,0,Airports,BLANK,http://www.aberdeenairport.com/,6002.0,215.0,EGPD,37,35
27,ACA,16.7561,-99.7536,General Juan N Alvarez International Airport,Acapulco,Guerrero,Mexico,12514882,America/Mexico_City,52-748-66-93-23,Airports,BLANK,BLANK,,,MMAA,12,17
28,ACC,5.5964,-0.17,Kotoka International Airport,Accra,Greater Accra,Ghana,12513022,Africa/Accra,0,Airports,BLANK,http://www.gcaa.com.gh/index.html,9800.0,205.0,DGAA,25,30
29,ACE,28.9521,-13.6085,Arrecife Airport,San Bartolomé,Canary Islands,Spain,12523048,Atlantic/Canary,0,Airports,BLANK,BLANK,7874.0,46.0,GCRR,49,28
30,ACH,47.4887,9.55376,Altenrhein Airport,Altenrhein,Canton of St. Gallen,Switzerland,23344872,Europe/Zurich,0,Airports,BLANK,http://www.airport-stgallen.com/,4350.0,1306.0,LSZR,1,1
31,ACI,49.7134,-2.22089,The Blaye Airport,St. Peter Port,Channel Islands,United Kingdom,12523974,Europe/Jersey,0,Airports,BLANK,BLANK,2887.0,291.0,EGJA,2,1
32,ACK,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket,Massachusetts,United States,12521076,America/New_York,0,Airports,BLANK,BLANK,6303.0,48.0,KACK,9,6
33,ACP,68.1609,-151.696,Sahand Airport,Sahand,BLANK,Iran,23424851,Asia/Tehran,0,Airports,BLANK,BLANK,,,KACP,1,1
34,ACS,47.7006,18.0064,BLANK,Achinsk,Krasnoyarskiy Kray,Russia,1979926,Asia/Krasnoyarsk,0,Airports,BLANK,BLANK,,,BLANK,0,0
35,ACT,31.609,-97.2234,Waco Regional Airport,Waco,Texas,United States,12522299,America/Chicago,0,Airports,BLANK,BLANK,6597.0,516.0,KACT,2,2
